participant,condition,gender,age,region,distanceLondon,stimulus,response,reactionTime
f8,maleFace,female,21,midlands,87.712,11,boo,2.22829499
f9,maleFace,female,20,northern,258.357,1,bee,2.176575017
f9,maleFace,female,20,northern,258.357,1,bee,2.219691572
f9,maleFace,female,20,northern,258.357,1,bee,2.184188047
f9,maleFace,female,20,northern,258.357,2,bee,2.317524669
f9,maleFace,female,20,northern,258.357,2,bee,2.303579256
f9,maleFace,female,20,northern,258.357,2,bee,2.301697023
f9,maleFace,female,20,northern,258.357,3,bee,2.687291001
f9,maleFace,female,20,northern,258.357,3,boo,2.269635486
f9,maleFace,female,20,northern,258.357,3,boo,2.228609087
f9,maleFace,female,20,northern,258.357,4,boo,2.288468084
f9,maleFace,female,20,northern,258.357,4,boo,2.287385096
f9,maleFace,female,20,northern,258.357,4,boo,2.248131672
f9,maleFace,female,20,northern,258.357,5,boo,2.293028817
f9,maleFace,female,20,northern,258.357,5,boo,2.306632878
f9,maleFace,female,20,northern,258.357,5,boo,2.248488254
f9,maleFace,female,20,northern,258.357,6,boo,2.690059887
f9,maleFace,female,20,northern,258.357,6,boo,2.303894783
f9,maleFace,female,20,northern,258.357,6,boo,2.116029014
f9,maleFace,female,20,northern,258.357,7,boo,2.138029128
f9,maleFace,female,20,northern,258.357,7,boo,2.15201394
f9,maleFace,female,20,northern,258.357,7,boo,2.082091534
f9,maleFace,female,20,northern,258.357,8,boo,2.167214506
f9,maleFace,female,20,northern,258.357,8,boo,2.234891476
f9,maleFace,female,20,northern,258.357,8,boo,2.150823018
f9,maleFace,female,20,northern,258.357,9,boo,2.265932932
f9,maleFace,female,20,northern,258.357,9,boo,2.182933556
f9,maleFace,female,20,northern,258.357,9,boo,2.214214389
f9,maleFace,female,20,northern,258.357,10,boo,2.168352786
f9,maleFace,female,20,northern,258.357,10,boo,2.221895623
f9,maleFace,female,20,northern,258.357,10,boo,2.281256663
f9,maleFace,female,20,northern,258.357,11,boo,2.276195326
f9,maleFace,female,20,northern,258.357,11,boo,2.353482777
f9,maleFace,female,20,northern,258.357,11,boo,2.165650448
f10,maleFace,female,21,southern,36.397,1,bee,2.52365437
f10,maleFace,female,21,southern,36.397,1,bee,2.509945367
f10,maleFace,female,21,southern,36.397,1,bee,2.25158268
f10,maleFace,female,21,southern,36.397,2,bee,2.315970561
f10,maleFace,female,21,southern,36.397,2,bee,2.339021855
f10,maleFace,female,21,southern,36.397,2,bee,2.410639359
f10,maleFace,female,21,southern,36.397,3,boo,2.820795331
f10,maleFace,female,21,southern,36.397,3,boo,2.377929254
f10,maleFace,female,21,southern,36.397,3,boo,2.417979566
f10,maleFace,female,21,southern,36.397,4,boo,2.540297138
f10,maleFace,female,21,southern,36.397,4,boo,2.597253101
f10,maleFace,female,21,southern,36.397,4,boo,2.448173077
f10,maleFace,female,21,southern,36.397,5,boo,2.482019143
f10,maleFace,female,21,southern,36.397,5,boo,3.04094789
f10,maleFace,female,21,southern,36.397,5,boo,2.226840523
f10,maleFace,female,21,southern,36.397,6,boo,2.779452123
f10,maleFace,female,21,southern,36.397,6,boo,2.357172726
f10,maleFace,female,21,southern,36.397,6,boo,2.516071145
f10,maleFace,female,21,southern,36.397,7,boo,2.598514544
f10,maleFace,female,21,southern,36.397,7,boo,2.235026989
f10,maleFace,female,21,southern,36.397,7,boo,2.252174996
f10,maleFace,female,21,southern,36.397,8,boo,2.231940592
f10,maleFace,female,21,southern,36.397,8,boo,2.700972503
f10,maleFace,female,21,southern,36.397,8,boo,2.575943326
f10,maleFace,female,21,southern,36.397,9,boo,2.818181066
f10,maleFace,female,21,southern,36.397,9,boo,2.807625008
f10,maleFace,female,21,southern,36.397,9,boo,2.313151683
f10,maleFace,female,21,southern,36.397,10,boo,2.856136257
f10,maleFace,female,21,southern,36.397,10,boo,2.443743128
f10,maleFace,female,21,southern,36.397,10,boo,2.180238654
f10,maleFace,female,21,southern,36.397,11,boo,2.662813362
f10,maleFace,female,21,southern,36.397,11,boo,2.620307375
f10,maleFace,female,21,southern,36.397,11,boo,2.216086475
f11,femaleFace,female,25,other,344.222,1,bee,1.754583712
f11,femaleFace,female,25,other,344.222,1,bee,1.734772859
f11,femaleFace,female,25,other,344.222,1,bee,1.723191998
f11,femaleFace,female,25,other,344.222,2,bee,1.767482435
f11,femaleFace,female,25,other,344.222,2,bee,1.899483258
f11,femaleFace,female,25,other,344.222,2,boo,2.249639979
f11,femaleFace,female,25,other,344.222,3,bee,1.722928892
f11,femaleFace,female,25,other,344.222,3,boo,2.203175185
f11,femaleFace,female,25,other,344.222,3,boo,1.875363345
f11,femaleFace,female,25,other,344.222,4,boo,1.735348053
f11,femaleFace,female,25,other,344.222,4,boo,1.855345833
f11,femaleFace,female,25,other,344.222,4,boo,1.752195232
f11,femaleFace,female,25,other,344.222,5,boo,1.708251871
f11,femaleFace,female,25,other,344.222,5,boo,1.829532992
f11,femaleFace,female,25,other,344.222,5,boo,1.928348408
f11,femaleFace,female,25,other,344.222,6,boo,1.764615326
f11,femaleFace,female,25,other,344.222,6,boo,1.855640194
f11,femaleFace,female,25,other,344.222,6,boo,1.870048045
f11,femaleFace,female,25,other,344.222,7,boo,2.015067482
f11,femaleFace,female,25,other,344.222,7,boo,1.781949065
f11,femaleFace,female,25,other,344.222,7,boo,1.770609851
f11,femaleFace,female,25,other,344.222,8,boo,1.66208797
f11,femaleFace,female,25,other,344.222,8,boo,1.696020242
f11,femaleFace,female,25,other,344.222,8,boo,1.839531951
f11,femaleFace,female,25,other,344.222,9,boo,1.798850824
f11,femaleFace,female,25,other,344.222,9,boo,1.833758082
f11,femaleFace,female,25,other,344.222,9,boo,1.81496793
f11,femaleFace,female,25,other,344.222,10,boo,1.687470698
f11,femaleFace,female,25,other,344.222,10,boo,1.910340578
f11,femaleFace,female,25,other,344.222,10,boo,1.721885332
f11,femaleFace,female,25,other,344.222,11,boo,1.749520788
f11,femaleFace,female,25,other,344.222,11,boo,1.763211162
f11,femaleFace,female,25,other,344.222,11,boo,1.98379146
f12,femaleFace,female,21,northern,168.981,1,bee,2.243115121
f12,femaleFace,female,21,northern,168.981,1,bee,2.201323952
f12,femaleFace,female,21,northern,168.981,1,bee,2.162754594
f12,femaleFace,female,21,northern,168.981,2,bee,2.218759674
f12,femaleFace,female,21,northern,168.981,2,bee,2.234663455
f12,femaleFace,female,21,northern,168.981,2,bee,2.666802964
f12,femaleFace,female,21,northern,168.981,3,bee,2.308450574
f12,femaleFace,female,21,northern,168.981,3,bee,2.955955119
f12,femaleFace,female,21,northern,168.981,3,boo,2.852413511
f12,femaleFace,female,21,northern,168.981,4,boo,2.524969449
f12,femaleFace,female,21,northern,168.981,4,boo,2.958510451
f12,femaleFace,female,21,northern,168.981,4,boo,3.221335534
f12,femaleFace,female,21,northern,168.981,5,boo,2.487638026
f12,femaleFace,female,21,northern,168.981,5,boo,3.170789753
f12,femaleFace,female,21,northern,168.981,5,boo,3.052538596
f12,femaleFace,female,21,northern,168.981,6,boo,2.168669469
f12,femaleFace,female,21,northern,168.981,6,boo,2.250968844
f12,femaleFace,female,21,northern,168.981,6,boo,2.331851497
f12,femaleFace,female,21,northern,168.981,7,boo,2.185339717
f12,femaleFace,female,21,northern,168.981,7,boo,2.655236097
f12,femaleFace,female,21,northern,168.981,7,boo,2.346393515
f12,femaleFace,female,21,northern,168.981,8,boo,2.120179741
f12,femaleFace,female,21,northern,168.981,8,boo,2.199957224
f12,femaleFace,female,21,northern,168.981,8,boo,2.410288738
f12,femaleFace,female,21,northern,168.981,9,boo,2.161017378
f12,femaleFace,female,21,northern,168.981,9,boo,2.419722741
f12,femaleFace,female,21,northern,168.981,9,boo,2.478995322
f12,femaleFace,female,21,northern,168.981,10,boo,2.169581615
f12,femaleFace,female,21,northern,168.981,10,boo,2.451951445
f12,femaleFace,female,21,northern,168.981,10,boo,2.397191254
